vintage_period,vintage_timestamp_start,target_quarter,within_quarter_origin,n_monthly_series,n_monthly_obs,factor_order,llf_final,em_iterations,em_tolerance_used,em_maxiter_used,em_convergence_delta_last,llf_path_json,converged_flag,sample_end_period,model_index_generated,model_index_type,model_index_monotonic,row_labels_type,row_labels_monotonic
2000-01,2000-01-01,2000Q1,1,44,492,1,-19627.977100542106,73,2e-06,100,1.8201894505226121e-06,"[-21737.482529436078, -20754.622212245362, -20455.36600783195, -20241.568171164337, -20085.31438816473, -19981.54787697469, -19916.890869967123, -19873.89519698974, -19841.02641848634, -19813.967879297707, -19791.68840370368, -19773.749112403664, -19759.444182932908, -19747.500173385935, -19735.437307541466, -19717.579278762925, -19688.820348381716, -19665.297295758595, -19655.345850998598, -19650.892511525984, -19648.09642628221, -19645.92158693874, -19644.09593431225, -19642.524281489565, -19641.155569556446, -19639.954222501947, -19638.892977180793, -19637.95023534204, -19637.10860126617, -19636.353894897322, -19635.674437966518, -19635.06052352833, -19634.504015493538, -19633.998042388725, -19633.536760424904, -19633.115168193755, -19632.728960274817, -19632.37441049639, -19632.048278032602, -19631.74773125981, -19631.470285551834, -19631.2137521098, -19630.976195598065, -19630.75589886061, -19630.55133337068, -19630.361134353156, -19630.18407973878, -19630.01907227868, -19629.86512427929, -19629.721344521022, -19629.586927005104, -19629.461141238065, -19629.343323814443, -19629.232871100172, -19629.129232852596, -19629.031906640077, -19628.940432946856, -19628.854390866734, -19628.773394304433, -19628.697088615947, -19628.625147629537, -19628.55727099772, -19628.49318183775, -19628.432624624416, -19628.375363303818, -19628.321179601317, -19628.269871500546, -19628.221251873314, -19628.17514724307, -19628.131396666795, -19628.089850722194, -19628.05037058857, -19628.012827211474, -19627.977100542106]",True,1999-12,False,PeriodIndex,True,PeriodIndex,True
2000-02,2000-02-01,2000Q1,2,44,493,1,-19670.886023230167,44,2e-06,100,1.8642745261505176e-06,"[-19704.240458279237, -19684.174262899993, -19681.648481979857, -19680.026804165005, -19678.821978066157, -19677.869825129474, -19677.091067220867, -19676.4394828543, -19675.885117897407, -19675.407245786148, -19674.99087278264, -19674.624795455795, -19674.300431821175, -19674.011075886083, -19673.751400725712, -19673.517115541694, -19673.304722284083, -19673.111338905932, -19672.93456849301, -19672.772400736092, -19672.623136670427, -19672.485330448464, -19672.357743774104, -19672.239309877208, -19672.1291047639, -19672.026324076975, -19671.93026432496, -19671.84030754438, -19671.755908682684, -19671.676585154004, -19671.60190814268, -19671.531495322142, -19671.465004727317, -19671.402129572427, -19671.342593848283, -19671.286148565385, -19671.232568534862, -19671.18164959939, -19671.13320624234, -19671.0870695161, -19671.043085240897, -19671.001112433732, -19670.961021933756, -19670.92269519607, -19670.886023230167]",True,2000-01,False,PeriodIndex,True,PeriodIndex,True
2000-03,2000-03-01,2000Q1,3,44,494,1,-19710.97935347122,43,2e-06,100,1.8893566135910769e-06,"[-19743.600131022547, -19723.92445379758, -19721.462334169715, -19719.86325498818, -19718.675087603962, -19717.73787362042, -19716.97289468763, -19716.334075364553, -19715.79155758067, -19715.32469649066, -19714.918569364756, -19714.56203476514, -19714.246565323905, -19713.96550367932, -19713.713566636776, -19713.486503048873, -19713.280851058655, -19713.093761829357, -19712.92286904389, -19712.766190670947, -19712.62205394289, -19712.489037326042, -19712.36592512192, -19712.251671585313, -19712.14537230007, -19712.046241150507, -19711.953591649817, -19711.86682169204, -19711.785401016605, -19711.708860838637, -19711.636785221097, -19711.56880385692, -19711.504585999806, -19711.4438353363, -19711.38628563333, -19711.3316970281, -19711.27985285252, -19711.230556904644, -19711.18363109559, -19711.138913413037, -19711.096256152843, -19711.0555243786, -19711.0165945756, -19710.97935347122]",True,2000-02,False,PeriodIndex,True,PeriodIndex,True
2000-04,2000-04-01,2000Q2,1,44,495,1,-19758.28116583625,43,2e-06,100,1.8939808763921948e-06,"[-19791.789598895484, -19771.42890605297, -19768.880185864597, -19767.245006749814, -19766.03723423044, -19765.08770727126, -19764.31427339055, -19763.669291464215, -19763.12208430741, -19762.651535263503, -19762.242430465692, -19761.883439363904, -19761.565906714575, -19761.283085799132, -19761.029629221903, -19760.801238585176, -19760.594416515116, -19760.406286974125, -19760.234462463653, -19760.07694421072, -19759.932046036945, -19759.79833553565, -19759.67458809587, -19759.559750593908, -19759.452912449426, -19759.353282353986, -19759.26016941289, -19759.17296775212, -19759.091143869082, -19759.01422617269, -19758.941796283434, -19758.873481757342, -19758.80894996965, -19758.74790294819, -19758.69007298918, -19758.635218920703, -19758.583122905162, -19758.533587692298, -19758.486434250513, -19758.441499717195, -19758.398635619153, -19758.35770632249, -19758.31858767837, -19758.28116583625]",True,2000-03,False,PeriodIndex,True,PeriodIndex,True
2000-05,2000-05-01,2000Q2,2,44,496,1,-19795.807926925725,43,2e-06,100,1.8844872456848523e-06,"[-19829.52466084756, -19808.990299601744, -19806.428113003007, -19804.78638457083, -19803.57362494747, -19802.62016650156, -19801.84369119082, -19801.19640886705, -19800.647499858984, -19800.175721556196, -19799.76575474855, -19799.40618369945, -19799.08828571633, -19798.805261412464, -19798.55172265802, -19798.323339766983, -19798.11659145564, -19797.92858348806, -19797.756914560625, -19797.599575459615, -19797.454872134185, -19797.321366261553, -19797.197828802735, -19797.083203336733, -19796.976576844492, -19796.87715623043, -19796.784249306966, -19796.697249281817, -19796.6156220178, -19796.538895503778, -19796.46665110205, -19796.39851623222, -19796.334158224246, -19796.27327912854, -19796.215611313906, -19796.16091371741, -19796.10896863642, -19796.059578973705, -19796.012565862657, -19795.967766613012, -19795.925032927742, -19795.884229350322, -19795.84523190843, -19795.807926925725]",True,2000-04,False,PeriodIndex,True,PeriodIndex,True
2000-06,2000-06-01,2000Q2,3,44,497,1,-19842.462676049596,43,2e-06,100,1.8816708639056559e-06,"[-19875.890972443565, -19855.5842421633, -19853.05177575801, -19851.42062772291, -19850.2138212512, -19849.264372171143, -19848.490766975134, -19847.845587593212, -19847.29823734743, -19846.827622966666, -19846.41852982816, -19846.05961701701, -19845.74221607612, -19845.459567325175, -19845.206311948878, -19844.978142065615, -19844.771552721006, -19844.58366198663, -19844.412077892084, -19844.254798343638, -19844.110134754217, -19843.97665301848, -19843.853127372076, -19843.738503951543, -19843.631871746955, -19843.532439250186, -19843.43951553492, -19843.35249481645, -19843.27084376658, -19843.19409102685, -19843.1218184884, -19843.053654001003, -19842.989265245735, -19842.92835456036, -19842.870654549406, -19842.815924343588, -19842.763946399515, -19842.7145237509, -19842.66747763874, -19842.622645461062, -19842.579878993074, -19842.539042837117, -19842.50001306861, -19842.462676049596]",True,2000-05,False,PeriodIndex,True,PeriodIndex,True
2000-07,2000-07-01,2000Q3,1,44,498,1,-19901.133452370785,43,2e-06,100,1.885632913191114e-06,"[-19934.954397709316, -19914.216023403802, -19911.69929172352, -19910.08086477781, -19908.88227715013, -19907.938062085766, -19907.167791081105, -19906.52470932828, -19905.978630346937, -19905.508723799703, -19905.09994942535, -19904.74108514052, -19904.423545178397, -19904.14062829015, -19903.88701740376, -19903.65843467654, -19903.451396859033, -19903.263037723023, -19903.090976632167, -19902.933219629973, -19902.788083913954, -19902.654139426173, -19902.530163164578, -19902.415103077277, -19902.30804926368, -19902.208210808218, -19902.114896999214, -19902.027501992798, -19901.94549220606, -19901.868395888992, -19901.79579444836, -19901.727315189783, -19901.66262521487, -19901.601426264846, -19901.54345034396, -19901.488455988565, -19901.436225073754, -19901.38656006931, -19901.339281673107, -19901.29422676284, -19901.251246617256, -19901.210205366602, -19901.170978638413, -19901.133452370785]",True,2000-06,False,PeriodIndex,True,PeriodIndex,True
2000-08,2000-08-01,2000Q3,2,47,499,1,-21729.6874419125,73,2e-06,100,1.851955747657989e-06,"[-23897.00106678589, -22857.32712805929, -22553.136864246888, -22337.168496394188, -22180.924688410603, -22077.967115538944, -22014.315281516414, -21972.427167281312, -21940.662599497922, -21914.55491748092, -21892.940150757113, -21875.233982870104, -21860.419923414498, -21846.218117578912, -21827.148545898282, -21797.468831490427, -21771.936592581846, -21760.507097340975, -21755.28203633787, -21752.042289105615, -21749.568952228045, -21747.520901390246, -21745.774640217114, -21744.26453687305, -21742.945987025283, -21741.78560819252, -21740.757498946303, -21739.84118129182, -21739.02023655387, -21738.281338480505, -21737.613549802492, -21737.00780247592, -21736.45650859098, -21735.953265448312, -21735.49262929953, -21735.069939742018, -21734.68118191881, -21734.322877259583, -21733.99199601012, -21733.6858865748, -21733.402217965297, -21733.138932564907, -21732.8942070856, -21732.66642008665, -21732.45412479, -21732.256026202245, -21732.070961762078, -21731.897884891492, -21731.735850952806, -21731.58400520929, -21731.441572463005, -21731.307848102886, -21731.182190343898, -21731.064013476018, -21730.952781972836, -21730.848005334294, -21730.749233558723, -21730.656053155915, -21730.56808362681, -21730.484974346902, -21730.40640179973, -21730.332067114974, -21730.26169387229, -21730.19502613733, -21730.131826701567, -21730.071875501, -21730.01496819261, -21729.960914870077, -21729.90953890277, -21729.860675884076, -21729.81417267702, -21729.769886546568, -21729.727684369318, -21729.6874419125]",True,2000-07,False,PeriodIndex,True,PeriodIndex,True
2000-09,2000-09-01,2000Q3,3,47,500,1,-21770.65648764514,43,2e-06,100,1.8849016448962542e-06,"[-21804.584132292788, -21784.53435608879, -21781.95426463216, -21780.258644105146, -21778.991126946683, -21777.98746322394, -21777.165907918632, -21776.478278543087, -21775.893199800317, -21775.388896461787, -21774.94958015624, -21774.56343210369, -21774.221385723366, -21773.916348256498, -21773.642680665635, -21773.395837902215, -21773.172113091125, -21772.968451408502, -21772.7823120394, -21772.611564096966, -21772.454407017005, -21772.309308899465, -21772.174958210664, -21772.05022556615, -21771.93413321102, -21771.825830441816, -21771.724573659776, -21771.629710066874, -21771.540664250686, -21771.45692707788, -21771.378046445796, -21771.30361953927, -21771.23328631472, -21771.1667239904, -21771.10364236636, -21771.043779831853, -21770.986899945452, -21770.932788494138, -21770.881250955088, -21770.832110297186, -21770.7852050704, -21770.740387740043, -21770.69752323004, -21770.65648764514]",True,2000-08,False,PeriodIndex,True,PeriodIndex,True
2000-10,2000-10-01,2000Q4,1,47,501,1,-21814.58339229351,42,2e-06,100,1.905531559173244e-06,"[-21848.407409603828, -21828.108766662735, -21825.552158424965, -21823.882446515476, -21822.638103503185, -21821.65489258008, -21820.851524921767, -21820.180213932792, -21819.60988652511, -21819.118997804664, -21818.691938687716, -21818.317033231368, -21817.985331071577, -21817.68983574425, -21817.424989256277, -21817.186315691164, -21816.970167832675, -21816.773542860898, -21816.593945689856, -21816.42928595099, -21816.27779922067, -21816.137986022255, -21816.00856405877, -21815.888430426494, -21815.77663144884, -21815.672338391312, -21815.57482775996, -21815.483465204357, -21815.397692278555, -21815.317015485583, -21815.240997159384, -21815.169247835074, -21815.1014198322, -21815.037201832332, -21814.976314276264, -21814.918505440182, -21814.86354807714, -21814.811236531314, -21814.761384249392, -21814.713821627018, -21814.66839413892, -21814.624960710218, -21814.58339229351]",True,2000-09,False,PeriodIndex,True,PeriodIndex,True
