vintage_period,vintage_timestamp_start,target_quarter,within_quarter_origin,n_monthly_series,n_monthly_obs,factor_order,llf_final,em_iterations,em_tolerance_used,em_maxiter_used,em_convergence_delta_last,llf_path_json,converged_flag,sample_end_period,model_index_generated,model_index_type,model_index_monotonic,row_labels_type,row_labels_monotonic
2000-11,2000-11-01,2000Q4,2,47,502,1,-21855.97139433453,42,2e-06,100,1.8943133237974461e-06,"[-21889.789909741005, -21869.480364102434, -21866.922898926954, -21865.252926542707, -21864.00848046716, -21863.02541245731, -21862.222419256897, -21861.551660937883, -21860.982009435735, -21860.491874212752, -21860.06561130518, -21859.691519235905, -21859.360629481012, -21859.06593298845, -21858.801863291497, -21858.56393899596, -21858.348509567386, -21858.152570410166, -21857.973625753548, -21857.80958530611, -21857.658685244336, -21857.51942704179, -21857.390529576893, -21857.27089125685, -21857.159559787477, -21857.055707842705, -21856.95861333129, -21856.867643277896, -21856.782240569388, -21856.701912989905, -21856.626224097134, -21856.554785589604, -21856.487250888968, -21856.42330971789, -21856.362683498563, -21856.30512143077, -21856.25039713565, -21856.19830577255, -21856.148661553063, -21856.101295590197, -21856.056054031214, -21856.01279643156, -21855.97139433453]",True,2000-10,False,PeriodIndex,True,PeriodIndex,True
2000-12,2000-12-01,2000Q4,3,47,503,1,-21892.776686814384,42,2e-06,100,1.8631452944871337e-06,"[-21926.958534731515, -21906.364412381634, -21903.780253780238, -21902.089771005936, -21900.829659172585, -21899.83460056488, -21899.022456684328, -21898.34478100313, -21897.76998453946, -21897.276116240246, -21896.847245822966, -21896.471442596485, -21896.139553707173, -21895.84442144847, -21895.58035924397, -21895.342788534894, -21895.127980132373, -21894.93286576398, -21894.754898132815, -21894.591945300723, -21894.442209845467, -21894.30416620815, -21894.17651159866, -21894.058127141056, -21893.948046845086, -21893.845432622915, -21893.749554021015, -21893.65977166227, -21893.57552363147, -21893.496314213477, -21893.421704524953, -21893.351304680116, -21893.284767206835, -21893.22178148757, -21893.162069044945, -21893.10537952683, -21893.051487273602, -21893.000188372083, -21892.951298118074, -21892.904648823293, -21892.86008791386, -21892.81747627625, -21892.776686814384]",True,2000-11,False,PeriodIndex,True,PeriodIndex,True
2001-01,2001-01-01,2001Q1,1,47,504,1,-21933.780616486787,42,2e-06,100,1.8861509896848105e-06,"[-21967.70522175041, -21947.305819685047, -21944.743168709392, -21943.06919563408, -21941.821782087958, -21940.836481346636, -21940.031811145287, -21939.359809444868, -21938.789255234937, -21938.298484499297, -21937.87179475655, -21937.497437974813, -21937.166408676363, -21936.871668527467, -21936.607627884398, -21936.36978702098, -21936.154480912362, -21935.958693519475, -21935.779920047138, -21935.616063103043, -21935.465353294763, -21935.32628774912, -21935.197581974244, -21935.078131788145, -21934.966982932714, -21934.86330661871, -21934.76637969262, -21934.67556843748, -21934.590315254623, -21934.5101276465, -21934.434569050834, -21934.363251173792, -21934.29582754452, -21934.23198807064, -21934.171454418552, -21934.113976076675, -21934.0593269873, -21934.007302653714, -21933.95771764643, -21933.91040344607, -21933.8652065711, -21933.82198694782, -21933.780616486787]",True,2000-12,False,PeriodIndex,True,PeriodIndex,True
2001-02,2001-02-01,2001Q1,2,47,505,1,-22002.106736500733,42,2e-06,100,1.8783818495493623e-06,"[-22036.250247622324, -22015.637603321604, -22013.07639025638, -22011.40368170685, -22010.156025900786, -22009.16975586172, -22008.363875468393, -22007.690658531043, -22007.11898832461, -22006.62724035012, -22006.199720165292, -22005.8246728771, -22005.4930796576, -22005.1978866413, -22004.933488649138, -22004.695371463255, -22004.47985705245, -22004.28391797658, -22004.105039599275, -22003.941116122485, -22003.790371027815, -22003.651295434527, -22003.522599807802, -22003.40317574722, -22003.29206547662, -22003.18843728103, -22003.091565580493, -22003.000814651587, -22002.915625241716, -22002.83550349506, -22002.760011738697, -22002.68876077532, -22002.62140340385, -22002.557628946393, -22002.49715860456, -22002.439741502654, -22002.38515130262, -22002.333183297007, -22002.28365190335, -22002.236388497062, -22002.191239530814, -22002.148064897494, -22002.106736500733]",True,2001-01,False,PeriodIndex,True,PeriodIndex,True
2001-03,2001-03-01,2001Q1,3,47,506,1,-22048.66231195625,42,2e-06,100,1.8751051702321816e-06,"[-22082.69257482756, -22062.208499366425, -22059.64024434756, -22057.96471512094, -22056.715422805955, -22055.728096763414, -22054.92151482028, -22054.247825053484, -22053.675833315625, -22053.18386526908, -22052.756193431887, -22052.38104059903, -22052.049372721507, -22051.754125506584, -22051.489686633624, -22051.251537013457, -22051.035995319082, -22050.840031909607, -22050.66113070857, -22050.49718500454, -22050.346417728448, -22050.207319696303, -22050.078601236542, -22049.95915392172, -22049.848020018704, -22049.744367897954, -22049.647472088407, -22049.556696985954, -22049.471483459143, -22049.391337769484, -22049.315822354045, -22049.244548116156, -22049.177167945047, -22049.113371242493, -22049.05287927925, -22048.99544123873, -22048.94083083255, -22048.888843394245, -22048.83929337437, -22048.792012174184, -22048.746846265778, -22048.70365555571, -22048.66231195625]",True,2001-02,False,PeriodIndex,True,PeriodIndex,True
2001-04,2001-04-01,2001Q2,1,47,507,1,-22100.431456300677,42,2e-06,100,1.871288154255131e-06,"[-22134.38595447978, -22113.943220023924, -22111.391099840344, -22109.720584350594, -22108.474048215852, -22107.488616894974, -22106.683445788258, -22106.010853288542, -22105.43974170433, -22104.9484964999, -22104.521429297838, -22104.14678955118, -22103.815562036616, -22103.52069616592, -22103.25658986167, -22103.018731869895, -22102.803446980615, -22102.607710416207, -22102.42901003005, -22102.265242332804, -22102.114632931938, -22101.975674892972, -22101.847080455, -22101.727742828778, -22101.61670569778, -22101.513138666876, -22101.41631734807, -22101.325607093466, -22101.2404496206, -22101.16035194857, -22101.084877193596, -22101.01363687042, -22100.946284420697, -22100.88250974708, -22100.822034575853, -22100.764608505866, -22100.710005628564, -22100.65802162553, -22100.608471266933, -22100.561186248036, -22100.51601331185, -22100.47281261496, -22100.431456300677]",True,2001-03,False,PeriodIndex,True,PeriodIndex,True
2001-05,2001-05-01,2001Q2,2,48,508,1,-22305.54276505108,76,2e-06,100,1.8391621151277751e-06,"[-24504.53480825996, -23447.15326044145, -23140.318613462587, -22921.83078156216, -22763.34651169277, -22659.056641290845, -22594.98560044748, -22553.210274536337, -22521.65906731913, -22495.650396750512, -22474.088167819005, -22456.666494012148, -22442.936101282463, -22432.099581787148, -22422.956548986193, -22413.43894366052, -22398.79428140117, -22372.544213454796, -22346.020555497744, -22333.392091787326, -22328.272010280758, -22325.509130929295, -22323.507319273405, -22321.850056306885, -22320.416505480476, -22319.156352573078, -22318.038953848303, -22317.04171798893, -22316.14684710912, -22315.33996628069, -22314.609304569887, -22313.945121119825, -22313.33928032254, -22312.78493031691, -22312.276256321184, -22311.808289193083, -22311.376755266007, -22310.977957381212, -22310.60867975135, -22310.266111217552, -22309.94778284392, -22309.651516791975, -22309.375384148094, -22309.11766991521, -22308.876843781334, -22308.65153557924, -22308.440514580478, -22308.242671942728, -22308.057005764662, -22307.88260830834, -22307.718655032084, -22307.56439514224, -22307.419143424675, -22307.282273158504, -22307.153209948643, -22307.03142634094, -22306.9164371061, -22306.807795097015, -22306.705087599097, -22306.607933105777, -22306.515978461644, -22306.428896324443, -22306.34638290415, -22306.26815594374, -22306.19395291114, -22306.123529376033, -22306.05665754934, -22305.993124965666, -22305.932733292095, -22305.875297248713, -22305.820643628293, -22305.76861040411, -22305.719045916332, -22305.671808128587, -22305.62676394739, -22305.583788598015, -22305.54276505108]",True,2001-04,False,PeriodIndex,True,PeriodIndex,True
2001-06,2001-06-01,2001Q2,3,48,509,1,-22349.021927738453,43,2e-06,100,1.8597233644223768e-06,"[-22383.62554308194, -22363.249919491802, -22360.58619332039, -22358.82331620749, -22357.505639529765, -22356.46610930898, -22355.61925620828, -22354.913770177056, -22354.31596712744, -22353.802453358705, -22353.356332828644, -22352.96503703443, -22352.618993866075, -22352.310769328753, -22352.03449295872, -22351.785461540094, -22351.559858985238, -22351.35455411809, -22351.166951981475, -22350.994882694868, -22350.836517147167, -22350.69030218799, -22350.554910201972, -22350.42919943993, -22350.31218249746, -22350.20300103654, -22350.10090534245, -22350.00523766262, -22349.915418530756, -22349.83093546686, -22349.75133358322, -22349.676207730146, -22349.605195894124, -22349.53797362086, -22349.47424928198, -22349.413760040006, -22349.356268394247, -22349.301559212126, -22349.249437168306, -22349.199724527596, -22349.15225921898, -22349.106893157194, -22349.063490775352, -22349.021927738453]",True,2001-05,False,PeriodIndex,True,PeriodIndex,True
2001-07,2001-07-01,2001Q3,1,48,510,1,-22398.498504003008,42,2e-06,100,1.8748044455554852e-06,"[-22432.2116423477, -22412.039589252767, -22409.515255125378, -22407.85073510403, -22406.603829767162, -22405.615845985645, -22404.80737426968, -22404.131288868623, -22403.556724305945, -22403.062165593343, -22402.63196469022, -22402.254383318596, -22401.920404787266, -22401.622970340344, -22401.35646665636, -22401.116370083386, -22400.898992891012, -22400.701298205677, -22400.520762485477, -22400.355271669207, -22400.20304165119, -22400.06255662885, -22399.932520777824, -22399.81181999641, -22399.699491347517, -22399.59469844751, -22399.496711493874, -22399.40489094355, -22399.318674087473, -22399.23756394029, -22399.161119993616, -22399.088950479192, -22399.020705862877, -22398.956073347763, -22398.894772209016, -22398.836549817945, -22398.781178239733, -22398.72845131102, -22398.67818212046, -22398.630200829255, -22398.584352779464, -22398.54049684694, -22398.498504003008]",True,2001-06,False,PeriodIndex,True,PeriodIndex,True
2001-08,2001-08-01,2001Q3,2,48,511,1,-22446.135251919284,42,2e-06,100,1.8688925391932357e-06,"[-22480.130303432223, -22459.818786773616, -22457.240616268602, -22455.542251324063, -22454.27374453182, -22453.271866138643, -22452.454435653468, -22451.772594007976, -22451.194368339966, -22450.697525378615, -22450.26594648276, -22449.887582994725, -22449.553212598672, -22449.25563990601, -22448.989160640966, -22448.749190562194, -22448.532001599866, -22448.334530080727, -22448.154234735386, -22447.988989863923, -22447.83700381293, -22447.696755982106, -22447.566947597268, -22447.446462846645, -22447.334337912125, -22447.229736080226, -22447.131927581555, -22447.040273141443, -22446.95421046792, -22446.8732430826, -22446.796931034194, -22446.72488313479, -22446.65675043577, -22446.592220718958, -22446.531013823645, -22446.472877665627, -22446.417584831972, -22446.36492965687, -22446.314725701523, -22446.266803574475, -22446.221009040313, -22446.17720137319, -22446.135251919284]",True,2001-07,False,PeriodIndex,True,PeriodIndex,True
2001-09,2001-09-01,2001Q3,3,48,512,1,-22472.66191005335,42,2e-06,100,1.8538919127647448e-06,"[-22506.531211650512, -22486.239164517927, -22483.68872763496, -22482.008449743826, -22480.75228784952, -22479.759057931413, -22478.947826918615, -22478.270537981545, -22477.695746023783, -22477.201568924287, -22476.772123128954, -22476.39551800928, -22476.062637873652, -22475.766359594505, -22475.501028163966, -22475.262093212008, -22475.045850219183, -22474.84925213085, -22474.669769625914, -22474.505285790452, -22474.35401560004, -22474.214443596713, -22474.08527510948, -22473.96539769016, -22473.853850345877, -22473.7497987862, -22473.65251535562, -22473.561362648623, -22473.475780043023, -22473.395272563732, -22473.319401620513, -22473.247777262863, -22473.180051670668, -22473.11591365721, -22473.055084006213, -22472.997311499457, -22472.942369518918, -22472.89005312929, -22472.840176563666, -22472.79257104924, -22472.74708292071, -22472.70357197814, -22472.66191005335]",True,2001-08,False,PeriodIndex,True,PeriodIndex,True
2001-10,2001-10-01,2001Q4,1,48,513,1,-22297.13821472239,41,2e-06,100,1.8860929182040074e-06,"[-22406.754623976383, -22317.437430495585, -22310.56247546867, -22307.710979703577, -22305.883162671442, -22304.578106948215, -22303.59251228902, -22302.81492123039, -22302.180120459736, -22301.648445962688, -22301.194650837944, -22300.80182620351, -22300.458066654242, -22300.15461217088, -22299.884782310364, -22299.64333979765, -22299.426092133446, -22299.229629651323, -22299.05114517339, -22298.888304804135, -22298.73915231348, -22298.602036554246, -22298.475555270732, -22298.358510926988, -22298.249875562018, -22298.14876255148, -22298.054403732065, -22297.96613073881, -22297.883359684398, -22297.805578511303, -22297.73233649668, -22297.663235501997, -22297.597922644833, -22297.536084135827, -22297.47744007468, -22297.421740039437, -22297.36875933434, -22297.318295786747, -22297.270167003633, -22297.224208014, -22297.18026923653, -22297.13821472239]",True,2001-09,False,PeriodIndex,True,PeriodIndex,True
2001-11,2001-11-01,2001Q4,2,48,514,1,-22394.382344746926,41,2e-06,100,1.8761583893905727e-06,"[-22433.922989753755, -22408.319717812323, -22405.18267746475, -22403.363331155662, -22402.08406839531, -22401.10397938917, -22400.31712050802, -22399.66662661219, -22399.117879521327, -22398.647924890814, -22398.240608210675, -22397.884070943117, -22397.569337710716, -22397.289457030445, -22397.038946623088, -22396.8134184368, -22396.609316025075, -22396.423725491823, -22396.254236390545, -22396.098837530404, -22395.955837741953, -22395.82380483095, -22395.70151799937, -22395.58793037704, -22395.482139237476, -22395.38336211802, -22395.29091752234, -22395.20420921163, -22395.122713330362, -22395.045967788097, -22394.973563450327, -22394.905136789428, -22394.840363721836, -22394.778954414513, -22394.72064888799, -22394.66521327744, -22394.61243664012, -22394.562128218473, -22394.514115085156, -22394.468240109378, -22394.42436019465, -22394.382344746926]",True,2001-10,False,PeriodIndex,True,PeriodIndex,True
2001-12,2001-12-01,2001Q4,3,48,515,1,-22901.301686456678,54,2e-06,100,1.9298435675565213e-06,"[-22950.965689524208, -22918.484601315373, -22914.989588539553, -22913.09255428885, -22911.729773272873, -22910.655371008674, -22909.77231192543, -22909.027976293775, -22908.38910687317, -22907.832945605453, -22907.343152413163, -22906.9075999442, -22906.517058441914, -22906.16435940089, -22905.843839336376, -22905.550957281856, -22905.28202471896, -22905.034010691863, -22904.804398541015, -22904.591078865524, -22904.392268396932, -22904.206447714263, -22904.03231286223, -22903.86873736537, -22903.71474210976, -22903.569471244726, -22903.432172737907, -22903.30218256133, -22903.178911735467, -22903.061835641605, -22902.950485147994, -22902.84443919709, -22902.743318577603, -22902.646780663585, -22902.554514947456, -22902.466239228866, -22902.38169634781, -22902.300651372323, -22902.222889167166, -22902.148212283682, -22902.076439121545, -22902.007402321433, -22901.94094735507, -22901.87693128409, -22901.815221664336, -22901.755695575568, -22901.698238759745, -22901.642744853765, -22901.589114704482, -22901.537255755582, -22901.487081497602, -22901.438510973443, -22901.39146833265, -22901.345882429072, -22901.301686456678]",True,2001-11,False,PeriodIndex,True,PeriodIndex,True
2002-01,2002-01-01,2002Q1,1,48,516,1,-22970.3057121137,54,2e-06,100,1.90832476712264e-06,"[-23009.38794748156, -22986.430151459906, -22983.694640961803, -22981.94348569805, -22980.631473239235, -22979.584335061994, -22978.718637085694, -22977.985979539342, -22977.3551355313, -22976.80456929827, -22976.318738079965, -22975.886047345542, -22975.497625708944, -22975.14654605386, -22974.827307519743, -22974.535478673843, -22974.267444723202, -22974.020224268606, -22973.79133388506, -22973.578686381472, -22973.380513256554, -22973.195304839657, -22973.021763553777, -22972.858767045476, -22972.705338823387, -22972.560624672537, -22972.423873555847, -22972.29442203315, -22972.17168146119, -22972.055127409098, -22971.944290852098, -22971.83875080197, -22971.738128106103, -22971.64208020259, -22971.550296662164, -22971.462495381147, -22971.37841931585, -22971.297833669516, -22971.22052345937, -22971.146291404206, -22971.074956083627, -22971.0063503283, -22970.940319807527, -22970.876721786037, -22970.81542402627, -22970.75630381629, -22970.69924710669, -22970.644147741936, -22970.59090677437, -22970.53943185015, -22970.489636658553, -22970.44144043685, -22970.394767524194, -22970.349546958823, -22970.3057121137]",True,2001-12,False,PeriodIndex,True,PeriodIndex,True
2002-02,2002-02-01,2002Q1,2,48,517,1,-23020.212196891956,54,2e-06,100,1.921096716895925e-06,"[-23057.048318143698, -23036.05073588135, -23033.47155194114, -23031.761608345892, -23030.46937937875, -23029.434812972297, -23028.57831925351, -23027.852948040614, -23027.228133116958, -23026.682686731343, -23026.201273263425, -23025.77243408328, -23025.387393621346, -23025.03929588171, -23024.722694807104, -23024.433202428176, -23024.167239243252, -23023.92185309202, -23023.69458520424, -23023.483369501184, -23023.28645580394, -23023.102350526013, -23022.929770346258, -23022.76760564784, -23022.61489139284, -23022.470783720004, -23022.33454099091, -23022.205508325205, -23022.083104895337, -23021.96681342085, -23021.856171428473, -23021.750763939497, -23021.65021731822, -23021.554194070435, -23021.462388423774, -23021.374522555117, -23021.29034335597, -23021.20961964747, -23021.132139772988, -23021.057709509005, -23020.986150245684, -23020.917297396725, -23020.850999004877, -23020.787114515282, -23020.72551369291, -23020.66607566461, -23020.608688068773, -23020.55324629871, -23020.49965282746, -23020.44781660399, -23020.397652511703, -23020.349080881955, -23020.302027055794, -23020.25642098851, -23020.212196891956]",True,2002-01,False,PeriodIndex,True,PeriodIndex,True
