state_period,global,demand,financial,housing,labor,prices,real_activity,vintage_period,target_quarter,state_kind
2000-05,-0.06926331975979026,-0.6868266313480967,0.3082291359688909,0.7076367510314315,-0.11694733543249838,0.4014611972813948,-0.06146319908757191,2000-07,2000Q3,previous_vintage_smoothed
2000-07,-0.2565383565894962,0.43299980183192316,0.6129384748795507,0.5687293279946808,-0.48151159727903,-1.2575076729918506,0.8181502169536596,2000-08,2000Q3,current_smoothed
2000-06,0.00614932684969174,-0.820486686163699,0.5388975442312851,0.5436870322059817,-0.27280556702706743,2.391272975193592,0.08516667736744321,2000-08,2000Q3,previous_vintage_smoothed
2000-08,-0.8034910086924264,-0.26468397483438044,0.5718156015311375,0.9795543666989692,-0.7192529106700999,-1.3873756575600373,0.6308865744018067,2000-09,2000Q3,current_smoothed
2000-07,-0.2565383565894962,0.43299980183192316,0.6129384748795507,0.5687293279946808,-0.48151159727903,-1.2575076729918506,0.8181502169536596,2000-09,2000Q3,previous_vintage_smoothed
2000-09,-0.10256771956079395,0.18531281198579372,0.5980005813784028,0.5429549013529815,-0.8167750357254641,2.887498943310274,-0.043239381378161676,2000-10,2000Q4,current_smoothed
2000-08,-0.8034910086924264,-0.26468397483438044,0.5718156015311375,0.9795543666989692,-0.7192529106700999,-1.3873756575600373,0.6308865744018067,2000-10,2000Q4,previous_vintage_smoothed
2000-10,-0.4435538286538195,-0.1204797415150182,0.5378385531190201,0.7845927031108862,-0.28213615504395295,-1.6732094337975656,-0.09103137211876293,2000-11,2000Q4,current_smoothed
2000-09,-0.10256771956079395,0.18531281198579372,0.5980005813784028,0.5429549013529815,-0.8167750357254641,2.887498943310274,-0.043239381378161676,2000-11,2000Q4,previous_vintage_smoothed
2000-11,-0.8559655365723564,-0.5506429938681813,0.5013522762896231,1.1664053814464466,0.15526019634166538,0.29426612012322234,-0.5345403325116562,2000-12,2000Q4,current_smoothed
2000-10,-0.4435538286538195,-0.1204797415150182,0.5378385531190201,0.7845927031108862,-0.28213615504395295,-1.6732094337975656,-0.09103137211876293,2000-12,2000Q4,previous_vintage_smoothed
2000-12,-1.5432051138934804,0.03219657388301548,0.43035752202470384,1.6279739995973734,0.06066859304995613,-0.25299196072730895,-0.7123094913948059,2001-01,2001Q1,current_smoothed
2000-11,-0.8559655365723564,-0.5506429938681813,0.5013522762896231,1.1664053814464466,0.15526019634166538,0.29426612012322234,-0.5345403325116562,2001-01,2001Q1,previous_vintage_smoothed
2001-01,-0.5819790462950122,0.17611792563107614,0.23846059921732654,1.2911081842096082,0.03793166957129603,1.7653724510836728,0.18362802539330683,2001-02,2001Q1,current_smoothed
2000-12,-1.5432051138934804,0.03219657388301548,0.43035752202470384,1.6279739995973734,0.06066859304995613,-0.25299196072730895,-0.7123094913948059,2001-02,2001Q1,previous_vintage_smoothed
2001-02,-0.9920357812240763,-0.20739605205989256,-0.14132161709741276,1.5401740428482635,-0.1115927106987818,-1.2156126015179909,0.01504327880002564,2001-03,2001Q1,current_smoothed
2001-01,-0.5819790462950122,0.17611792563107614,0.23846059921732654,1.2911081842096082,0.03793166957129603,1.7653724510836728,0.18362802539330683,2001-03,2001Q1,previous_vintage_smoothed
2001-03,-0.6957693129623892,-0.36788225848692485,-0.1986844527473819,1.246338450096869,-0.47370749366419984,-1.3603246999916874,0.7350435464579127,2001-04,2001Q2,current_smoothed
2001-02,-0.9920357812240763,-0.20739605205989256,-0.14132161709741276,1.5401740428482635,-0.1115927106987818,-1.2156126015179909,0.01504327880002564,2001-04,2001Q2,previous_vintage_smoothed
2001-04,-1.1083703996023249,0.14596605596168216,-0.7202552111059748,1.5640267149356069,-0.534330656212437,1.5984869554404675,0.3775033669459608,2001-05,2001Q2,current_smoothed
2001-03,-0.6957693129623892,-0.36788225848692485,-0.1986844527473819,1.246338450096869,-0.47370749366419984,-1.3603246999916874,0.7350435464579127,2001-05,2001Q2,previous_vintage_smoothed
2001-05,-1.0136136152039614,0.2552342185432354,-1.1432934048729817,1.5212091759327508,-0.6635831986419871,0.26703697688384126,-0.45998150900019624,2001-06,2001Q2,current_smoothed
2001-04,-1.1083703996023249,0.14596605596168216,-0.7202552111059748,1.5640267149356069,-0.534330656212437,1.5984869554404675,0.3775033669459608,2001-06,2001Q2,previous_vintage_smoothed
2001-06,-1.06648225789539,-0.1629821158658871,-1.193305259146619,1.6433650380459923,-1.0513714868849282,-0.4963755957013373,-0.660780290883656,2001-07,2001Q3,current_smoothed
2001-05,-1.0136136152039614,0.2552342185432354,-1.1432934048729817,1.5212091759327508,-0.6635831986419871,0.26703697688384126,-0.45998150900019624,2001-07,2001Q3,previous_vintage_smoothed
2001-07,-0.5595856620354225,0.17503464172197464,-1.1464641243314637,1.3456733441441668,-0.9668944970993459,-2.079854870190489,0.2068398738041445,2001-08,2001Q3,current_smoothed
2001-06,-1.06648225789539,-0.1629821158658871,-1.193305259146619,1.6433650380459923,-1.0513714868849282,-0.4963755957013373,-0.660780290883656,2001-08,2001Q3,previous_vintage_smoothed
2001-08,-1.2173780538819448,-0.0067143474056890915,-1.1390359240882604,1.2865463738457261,-1.285441117069627,1.7137023575535721,-0.7617491020393771,2001-09,2001Q3,current_smoothed
2001-07,-0.5595856620354225,0.17503464172197464,-1.1464641243314637,1.3456733441441668,-0.9668944970993459,-2.079854870190489,0.2068398738041445,2001-09,2001Q3,previous_vintage_smoothed
2001-09,-1.8009884079483642,-1.181244665826951,-1.593251628962356,1.779031975106892,-0.5539356934842137,2.382170039583658,-0.18565677351768817,2001-10,2001Q4,current_smoothed
2001-08,-1.2173780538819448,-0.0067143474056890915,-1.1390359240882604,1.2865463738457261,-1.285441117069627,1.7137023575535721,-0.7617491020393771,2001-10,2001Q4,previous_vintage_smoothed
2001-10,-1.5048120142308812,3.1895323874122683,-1.8373093745037496,1.4905422285374548,-1.3200401032131739,-2.7979794027098754,-0.8759264084350062,2001-11,2001Q4,current_smoothed
2001-09,-1.8009884079483642,-1.181244665826951,-1.593251628962356,1.779031975106892,-0.5539356934842137,2.382170039583658,-0.18565677351768817,2001-11,2001Q4,previous_vintage_smoothed
2001-11,-1.2075156746330764,-1.6427843824297848,-1.8864122318268222,1.5923873510141198,-2.4297369110293263,-0.09037852747959672,0.6200338488957475,2001-12,2001Q4,current_smoothed
2001-10,-1.5048120142308812,3.1895323874122683,-1.8373093745037496,1.4905422285374548,-1.3200401032131739,-2.7979794027098754,-0.8759264084350062,2001-12,2001Q4,previous_vintage_smoothed
2001-12,-0.3222869381910413,-0.5074428164111331,-1.9481675355253352,0.8457677845754707,-2.769419471694855,-0.55400709590229,-0.35165257209488876,2002-01,2002Q1,current_smoothed
2001-11,-1.2075156746330764,-1.6427843824297848,-1.8864122318268222,1.5923873510141198,-2.4297369110293263,-0.09037852747959672,0.6200338488957475,2002-01,2002Q1,previous_vintage_smoothed
2002-01,-0.11638060979261651,-0.019299459362074025,-1.762254384614087,1.0804452437078003,-2.6502558025824117,1.8018937695473918,-0.4632125278796145,2002-02,2002Q1,current_smoothed
2001-12,-0.3222869381910413,-0.5074428164111331,-1.9481675355253352,0.8457677845754707,-2.769419471694855,-0.55400709590229,-0.35165257209488876,2002-02,2002Q1,previous_vintage_smoothed
2002-02,0.38627885319448446,-0.5042345690428954,-1.496038408844178,1.0279822241673846,-2.452087217811696,-0.01898009325193581,-0.5357553856931312,2002-03,2002Q1,current_smoothed
2002-01,-0.11638060979261651,-0.019299459362074025,-1.762254384614087,1.0804452437078003,-2.6502558025824117,1.8018937695473918,-0.4632125278796145,2002-03,2002Q1,previous_vintage_smoothed
2002-03,0.25323418834545985,0.02460382984476638,-1.4956206483376018,0.7217658910014123,-1.5539605985422802,0.9875444841964134,0.560035044445521,2002-04,2002Q2,current_smoothed
2002-02,0.38627885319448446,-0.5042345690428954,-1.496038408844178,1.0279822241673846,-2.452087217811696,-0.01898009325193581,-0.5357553856931312,2002-04,2002Q2,previous_vintage_smoothed
2002-04,-0.33848154695840293,1.1367174268953524,-1.4505747700989133,0.8676304360192713,-1.2380878671001208,0.5330353332626192,0.45096952333855056,2002-05,2002Q2,current_smoothed
2002-03,0.25323418834545985,0.02460382984476638,-1.4956206483376018,0.7217658910014123,-1.5539605985422802,0.9875444841964134,0.560035044445521,2002-05,2002Q2,previous_vintage_smoothed
2002-05,0.2246121883115494,-0.7807628305294773,-1.2881832102216253,1.0532310114735173,-1.5928948262663527,-2.7519160139536685,-0.40569200211382245,2002-06,2002Q2,current_smoothed
2002-04,-0.33848154695840293,1.1367174268953524,-1.4505747700989133,0.8676304360192713,-1.2380878671001208,0.5330353332626192,0.45096952333855056,2002-06,2002Q2,previous_vintage_smoothed
2002-06,0.1694687508013952,0.2961300878981026,-1.1781871770511072,0.8946130535109152,-1.5303644077861935,0.5993276350792534,0.553040573074074,2002-07,2002Q3,current_smoothed
2002-05,0.2246121883115494,-0.7807628305294773,-1.2881832102216253,1.0532310114735173,-1.5928948262663527,-2.7519160139536685,-0.40569200211382245,2002-07,2002Q3,previous_vintage_smoothed
2002-07,-0.09809867972792279,0.43901228363379025,-1.0761279612488048,0.9861382349008403,-1.2784446132741052,0.27405759994740414,-0.23914868862640062,2002-08,2002Q3,current_smoothed
2002-06,0.1694687508013952,0.2961300878981026,-1.1781871770511072,0.8946130535109152,-1.5303644077861935,0.5993276350792534,0.553040573074074,2002-08,2002Q3,previous_vintage_smoothed
2002-08,-0.2844123131541803,0.18607392101994963,-0.8095779664086759,0.9895834753171169,-0.8772708462437443,0.8347856094066692,-0.36257890950620414,2002-09,2002Q3,current_smoothed
2002-07,-0.09809867972792279,0.43901228363379025,-1.0761279612488048,0.9861382349008403,-1.2784446132741052,0.27405759994740414,-0.23914868862640062,2002-09,2002Q3,previous_vintage_smoothed
2002-09,-0.5139865136003092,-0.6629354361066819,-0.6178555091411767,1.78130564404507,-0.7281505842977011,-0.44264576812230755,-0.3291569248656214,2002-10,2002Q4,current_smoothed
2002-08,-0.2844123131541803,0.18607392101994963,-0.8095779664086759,0.9895834753171169,-0.8772708462437443,0.8347856094066692,-0.36257890950620414,2002-10,2002Q4,previous_vintage_smoothed
2002-10,-0.9231715332774348,-0.10659106195049238,-0.6240161869053902,1.3520152891753139,-0.6595609320703095,0.3479335309778118,-0.6810863258710659,2002-11,2002Q4,current_smoothed
2002-09,-0.5139865136003092,-0.6629354361066819,-0.6178555091411767,1.78130564404507,-0.7281505842977011,-0.44264576812230755,-0.3291569248656214,2002-11,2002Q4,previous_vintage_smoothed
2002-11,-0.5103594533285131,-0.09887751110013088,-0.8964390368655875,1.365146871525237,-1.016978938082255,-0.9315586329623543,0.2506045099329993,2002-12,2002Q4,current_smoothed
2002-10,-0.9231715332774348,-0.10659106195049238,-0.6240161869053902,1.3520152891753139,-0.6595609320703095,0.3479335309778118,-0.6810863258710659,2002-12,2002Q4,previous_vintage_smoothed
2002-12,-0.4417429123027763,0.3639269895942138,-0.7811453413117532,1.7102825880461128,-1.079998265559226,-0.10579373578517946,-0.33255979113692374,2003-01,2003Q1,current_smoothed
2002-11,-0.5103594533285131,-0.09887751110013088,-0.8964390368655875,1.365146871525237,-1.016978938082255,-0.9315586329623543,0.2506045099329993,2003-01,2003Q1,previous_vintage_smoothed
2003-01,0.019309600838336657,-0.19518306448300543,-0.6603252807830043,1.4457089371489302,-1.2061898591155717,1.5185896615814611,0.36645742781576035,2003-02,2003Q1,current_smoothed
2002-12,-0.4417429123027763,0.3639269895942138,-0.7811453413117532,1.7102825880461128,-1.079998265559226,-0.10579373578517946,-0.33255979113692374,2003-02,2003Q1,previous_vintage_smoothed
2003-02,-0.7547307155981604,-1.0886887103729064,-0.5487173396976857,1.2742340168160755,-0.9813664785759236,1.432446758942078,0.35860599256396636,2003-03,2003Q1,current_smoothed
2003-01,0.019309600838336657,-0.19518306448300543,-0.6603252807830043,1.4457089371489302,-1.2061898591155717,1.5185896615814611,0.36645742781576035,2003-03,2003Q1,previous_vintage_smoothed
2003-03,-0.623145890902715,1.0758705926035033,-0.37469306743138653,1.6303493419619282,-0.8406449975331337,-1.18661536424556,-0.04474755391178372,2003-04,2003Q2,current_smoothed
2003-02,-0.7547307155981604,-1.0886887103729064,-0.5487173396976857,1.2742340168160755,-0.9813664785759236,1.432446758942078,0.35860599256396636,2003-04,2003Q2,previous_vintage_smoothed
2003-04,-1.0093786408168859,-0.29159376926661673,-0.2821888339535916,1.4509531952350683,-1.1986287430179952,-3.8294458639619706,-0.36395788681414853,2003-05,2003Q2,current_smoothed
2003-03,-0.623145890902715,1.0758705926035033,-0.37469306743138653,1.6303493419619282,-0.8406449975331337,-1.18661536424556,-0.04474755391178372,2003-05,2003Q2,previous_vintage_smoothed
2003-05,-0.4536583141919779,-0.01559914909082533,-0.1548416335206888,1.4431227079976507,-1.1186182416089754,1.3742574752312047,0.3856263469153874,2003-06,2003Q2,current_smoothed
2003-04,-1.0093786408168859,-0.29159376926661673,-0.2821888339535916,1.4509531952350683,-1.1986287430179952,-3.8294458639619706,-0.36395788681414853,2003-06,2003Q2,previous_vintage_smoothed
2003-06,-0.3128016551576565,0.11711957157017722,-0.050629669918041145,1.5570395438992088,-1.465622779400425,1.5349381896255327,0.6861825171592127,2003-07,2003Q3,current_smoothed
2003-05,-0.4536583141919779,-0.01559914909082533,-0.1548416335206888,1.4431227079976507,-1.1186182416089754,1.3742574752312047,0.3856263469153874,2003-07,2003Q3,previous_vintage_smoothed
2003-07,-0.026034102337587323,0.46444476430247433,-0.28248030939662694,1.532690275868694,-1.9846228937998331,-0.11181934820692528,-0.1834839944628113,2003-08,2003Q3,current_smoothed
2003-06,-0.3128016551576565,0.11711957157017722,-0.050629669918041145,1.5570395438992088,-1.465622779400425,1.5349381896255327,0.6861825171592127,2003-08,2003Q3,previous_vintage_smoothed
2003-08,-0.2194846102887651,-0.41857299907305734,-0.47436928019704766,1.4994284517456682,-1.6784035277982041,0.7760435139881846,-0.49374429480510357,2003-09,2003Q3,current_smoothed
2003-07,-0.026034102337587323,0.46444476430247433,-0.28248030939662694,1.532690275868694,-1.9846228937998331,-0.11181934820692528,-0.1834839944628113,2003-09,2003Q3,previous_vintage_smoothed
2003-09,-0.02830465678300634,-0.05432954496794598,-0.45593673075527585,1.5552509383964503,-1.2890162242726775,-0.3150022298648043,0.8919884422999351,2003-10,2003Q4,current_smoothed
2003-08,-0.2194846102887651,-0.41857299907305734,-0.47436928019704766,1.4994284517456682,-1.6784035277982041,0.7760435139881846,-0.49374429480510357,2003-10,2003Q4,previous_vintage_smoothed
2003-10,0.06085240563573017,-0.5093384880758344,-0.384334354072796,1.690360035092367,-0.9791277900623121,-1.6721918681834795,-0.48921461960052504,2003-11,2003Q4,current_smoothed
2003-09,-0.02830465678300634,-0.05432954496794598,-0.45593673075527585,1.5552509383964503,-1.2890162242726775,-0.3150022298648043,0.8919884422999351,2003-11,2003Q4,previous_vintage_smoothed
2003-11,0.7016507919098064,-0.07859762887091756,-0.36606659458540197,1.5476645914124498,-1.5424317133309897,-0.8484303775064987,0.20373729219879264,2003-12,2003Q4,current_smoothed
2003-10,0.06085240563573017,-0.5093384880758344,-0.384334354072796,1.690360035092367,-0.9791277900623121,-1.6721918681834795,-0.48921461960052504,2003-12,2003Q4,previous_vintage_smoothed
2003-12,0.3544151853159638,-0.1536113075883759,-0.36001449427085025,1.7055319811364245,-1.6408130104297527,1.8800819496139305,-0.5001165974341697,2004-01,2004Q1,current_smoothed
2003-11,0.7016507919098064,-0.07859762887091756,-0.36606659458540197,1.5476645914124498,-1.5424317133309897,-0.8484303775064987,0.20373729219879264,2004-01,2004Q1,previous_vintage_smoothed
2004-01,0.00024217697833284898,-0.5229235291162742,-0.31668882281418165,1.4522577911715673,-0.9303723610418899,1.4478699698668387,0.07450885267478136,2004-02,2004Q1,current_smoothed
2003-12,0.3544151853159638,-0.1536113075883759,-0.36001449427085025,1.7055319811364245,-1.6408130104297527,1.8800819496139305,-0.5001165974341697,2004-02,2004Q1,previous_vintage_smoothed
2004-02,0.23738461115361142,-0.36751199475518387,-0.19982554005927994,1.2025196726496818,-0.9873282868221777,-0.9237381198194978,1.0125725841137163,2004-03,2004Q1,current_smoothed
2004-01,0.00024217697833284898,-0.5229235291162742,-0.31668882281418165,1.4522577911715673,-0.9303723610418899,1.4478699698668387,0.07450885267478136,2004-03,2004Q1,previous_vintage_smoothed
2004-03,0.2971796678900065,0.5531157298226104,-0.137233365856483,1.5572218024404518,-0.8034457173087839,0.8141520922480848,-0.9218040588219515,2004-04,2004Q2,current_smoothed
2004-02,0.23738461115361142,-0.36751199475518387,-0.19982554005927994,1.2025196726496818,-0.9873282868221777,-0.9237381198194978,1.0125725841137163,2004-04,2004Q2,previous_vintage_smoothed
2004-04,0.583277766257492,-0.9174740171780297,-0.22829182111734742,1.3453941551620454,-0.5608584364780372,-1.2533821862564685,0.017356305007697734,2004-05,2004Q2,current_smoothed
2004-03,0.2971796678900065,0.5531157298226104,-0.137233365856483,1.5572218024404518,-0.8034457173087839,0.8141520922480848,-0.9218040588219515,2004-05,2004Q2,previous_vintage_smoothed
2004-05,0.6311161175383491,0.020226518350910043,-0.3611905958010435,1.3354507510338314,-0.052246494001909664,2.033852440047374,0.45543699828768314,2004-06,2004Q2,current_smoothed
2004-04,0.583277766257492,-0.9174740171780297,-0.22829182111734742,1.3453941551620454,-0.5608584364780372,-1.2533821862564685,0.017356305007697734,2004-06,2004Q2,previous_vintage_smoothed
2004-06,-0.1560180756215,-0.8845930257839256,-0.3976062604728568,1.3552031359789916,-0.2631000253189937,-1.6034457331728356,-0.5057173995070611,2004-07,2004Q3,current_smoothed
2004-05,0.6311161175383491,0.020226518350910043,-0.3611905958010435,1.3354507510338314,-0.052246494001909664,2.033852440047374,0.45543699828768314,2004-07,2004Q3,previous_vintage_smoothed
2004-07,0.1504254127367033,0.3555243356771176,-0.09424921842909086,1.6534521474510022,-0.17631850090415455,-1.8604704342508436,0.4648717085648542,2004-08,2004Q3,current_smoothed
2004-06,-0.1560180756215,-0.8845930257839256,-0.3976062604728568,1.3552031359789916,-0.2631000253189937,-1.6034457331728356,-0.5057173995070611,2004-08,2004Q3,previous_vintage_smoothed
2004-08,0.16478107474222062,-0.3886696166687866,0.13487734926055894,1.67783150792634,-0.275713920060727,0.4440553903347392,0.22470496910758195,2004-09,2004Q3,current_smoothed
2004-07,0.1504254127367033,0.3555243356771176,-0.09424921842909086,1.6534521474510022,-0.17631850090415455,-1.8604704342508436,0.4648717085648542,2004-09,2004Q3,previous_vintage_smoothed
2004-09,-0.4535038260273894,0.3359706518973043,0.31259053736637143,1.753949207094936,-0.25130625736222173,0.6863695358661122,-0.46486891821246784,2004-10,2004Q4,current_smoothed
2004-08,0.16478107474222062,-0.3886696166687866,0.13487734926055894,1.67783150792634,-0.275713920060727,0.4440553903347392,0.22470496910758195,2004-10,2004Q4,previous_vintage_smoothed
2004-10,0.09286918016770339,-0.1525484325420717,0.44325959504447154,1.762769819107923,-0.09064309945462734,2.5134071359089387,0.7442756817169754,2004-11,2004Q4,current_smoothed
2004-09,-0.4535038260273894,0.3359706518973043,0.31259053736637143,1.753949207094936,-0.25130625736222173,0.6863695358661122,-0.46486891821246784,2004-11,2004Q4,previous_vintage_smoothed
2004-11,-0.1464810547341816,-0.4376758401507501,0.5149813974375828,1.2554029272815355,-0.28625085425125846,-2.4453125627161554,0.0630899439049722,2004-12,2004Q4,current_smoothed
2004-10,0.09286918016770339,-0.1525484325420717,0.44325959504447154,1.762769819107923,-0.09064309945462734,2.5134071359089387,0.7442756817169754,2004-12,2004Q4,previous_vintage_smoothed
2004-12,1.3881582464333586,0.4480304744761978,0.705709896007144,1.0274887861644666,-1.3922436034862706,-1.4973333783608385,-1.1495825675522893,2005-01,2005Q1,current_smoothed
2004-11,-0.1464810547341816,-0.4376758401507501,0.5149813974375828,1.2554029272815355,-0.28625085425125846,-2.4453125627161554,0.0630899439049722,2005-01,2005Q1,previous_vintage_smoothed
2005-01,-0.11183906876031963,-0.7053572239134989,0.716327193247827,2.1776817022971997,-0.6425575856383985,0.9568841329690988,0.4376739810951754,2005-02,2005Q1,current_smoothed
2004-12,1.3881582464333586,0.4480304744761978,0.705709896007144,1.0274887861644666,-1.3922436034862706,-1.4973333783608385,-1.1495825675522893,2005-02,2005Q1,previous_vintage_smoothed
2005-02,-0.16199112232206772,-0.18621562381754933,0.9005284461102171,2.275016153974179,-0.28181410876171137,1.0334423241377533,0.6927424704877592,2005-03,2005Q1,current_smoothed
2005-01,-0.11183906876031963,-0.7053572239134989,0.716327193247827,2.1776817022971997,-0.6425575856383985,0.9568841329690988,0.4376739810951754,2005-03,2005Q1,previous_vintage_smoothed
2005-03,-0.6975702508775051,0.06116762394610356,0.8019136430106111,1.6763853263176187,0.2741923405468559,1.4417663104910454,0.11353057132813892,2005-04,2005Q2,current_smoothed
2005-02,-0.16199112232206772,-0.18621562381754933,0.9005284461102171,2.275016153974179,-0.28181410876171137,1.0334423241377533,0.6927424704877592,2005-04,2005Q2,previous_vintage_smoothed
2005-04,-0.15044712584502498,0.3241280047188089,0.8707883175146008,1.929675243247539,0.20177143154841284,-0.423509560637884,-0.31303317482416204,2005-05,2005Q2,current_smoothed
2005-03,-0.6975702508775051,0.06116762394610356,0.8019136430106111,1.6763853263176187,0.2741923405468559,1.4417663104910454,0.11353057132813892,2005-05,2005Q2,previous_vintage_smoothed
2005-05,-0.040765994842225386,-0.7202287072509235,1.0159599376187152,1.7886757978917547,0.001961132334678643,-2.8510404406704755,0.6216387248930814,2005-06,2005Q2,current_smoothed
2005-04,-0.15044712584502498,0.3241280047188089,0.8707883175146008,1.929675243247539,0.20177143154841284,-0.423509560637884,-0.31303317482416204,2005-06,2005Q2,previous_vintage_smoothed
2005-06,-0.13133993506937486,0.525395052028543,1.0060966622435048,1.8263687690191908,0.03544919489405887,0.4228526332518098,0.40923202750209153,2005-07,2005Q3,current_smoothed
2005-05,-0.040765994842225386,-0.7202287072509235,1.0159599376187152,1.7886757978917547,0.001961132334678643,-2.8510404406704755,0.6216387248930814,2005-07,2005Q3,previous_vintage_smoothed
2005-07,0.0955047113708372,0.5940738269050203,1.1141795927723677,1.7763920280132346,-0.2206158478966942,2.42786808342319,-0.4543538722555259,2005-08,2005Q3,current_smoothed
2005-06,-0.13133993506937486,0.525395052028543,1.0060966622435048,1.8263687690191908,0.03544919489405887,0.4228526332518098,0.40923202750209153,2005-08,2005Q3,previous_vintage_smoothed
2005-08,-0.5086929793224867,-2.0918147981602466,1.1325699194662169,2.016043495307476,0.06378319193142817,0.571149501649183,0.7300896385636211,2005-09,2005Q3,current_smoothed
2005-07,0.0955047113708372,0.5940738269050203,1.1141795927723677,1.7763920280132346,-0.2206158478966942,2.42786808342319,-0.4543538722555259,2005-09,2005Q3,previous_vintage_smoothed
2005-09,-1.2354141465192139,-0.583557028111527,1.082704480351363,2.6106120417412177,0.9180098154506985,3.3907118944792005,-0.031596975886748827,2005-10,2005Q4,current_smoothed
2005-08,-0.5086929793224867,-2.0918147981602466,1.1325699194662169,2.016043495307476,0.06378319193142817,0.571149501649183,0.7300896385636211,2005-10,2005Q4,previous_vintage_smoothed
2005-10,0.4510659259675451,-0.4564617279818579,1.1497330204327212,1.4690746754287347,-0.21424697047633487,-5.248842596096285,1.6878929901114623,2005-11,2005Q4,current_smoothed
2005-09,-1.2354141465192139,-0.583557028111527,1.082704480351363,2.6106120417412177,0.9180098154506985,3.3907118944792005,-0.031596975886748827,2005-11,2005Q4,previous_vintage_smoothed
2005-11,0.9635643221704236,-0.13179174038758026,1.1526276209307007,1.4464688994304762,-1.1908131725287974,-3.9286797604657586,-1.248862126007086,2005-12,2005Q4,current_smoothed
2005-10,0.4510659259675451,-0.4564617279818579,1.1497330204327212,1.4690746754287347,-0.21424697047633487,-5.248842596096285,1.6878929901114623,2005-12,2005Q4,previous_vintage_smoothed
2005-12,0.22695187518105045,0.6652277689609244,1.0814087170214148,1.387087172822026,-0.7840701205170715,2.9170903006832174,-0.5563909884456638,2006-01,2006Q1,current_smoothed
2005-11,0.9635643221704236,-0.13179174038758026,1.1526276209307007,1.4464688994304762,-1.1908131725287974,-3.9286797604657586,-1.248862126007086,2006-01,2006Q1,previous_vintage_smoothed
2006-01,0.7325263707386975,0.49641582520616817,1.1603972023017286,1.8757024620624836,-1.006911772129935,2.9375443911504164,-0.20307429543701208,2006-02,2006Q1,current_smoothed
2005-12,0.22695187518105045,0.6652277689609244,1.0814087170214148,1.387087172822026,-0.7840701205170715,2.9170903006832174,-0.5563909884456638,2006-02,2006Q1,previous_vintage_smoothed
2006-02,-0.19321003165115053,-1.4767939945046182,1.1481347236292638,1.999400488230835,-0.19304127223149822,-2.6917799920763597,-0.24505406804903135,2006-03,2006Q1,current_smoothed
2006-01,0.7325263707386975,0.49641582520616817,1.1603972023017286,1.8757024620624836,-1.006911772129935,2.9375443911504164,-0.20307429543701208,2006-03,2006Q1,previous_vintage_smoothed
2006-03,0.03647855217566299,0.07778197492782776,1.0483908291022814,1.4999642912805367,-0.05393460243092031,1.6038621287199666,0.4652729256201198,2006-04,2006Q2,current_smoothed
2006-02,-0.19321003165115053,-1.4767939945046182,1.1481347236292638,1.999400488230835,-0.19304127223149822,-2.6917799920763597,-0.24505406804903135,2006-04,2006Q2,previous_vintage_smoothed
2006-04,0.11614158292424805,-0.24052740411817716,1.0117672908894904,1.191099213801482,0.016649591437141967,1.0936098232016918,0.7717145257759542,2006-05,2006Q2,current_smoothed
