state_period,global,demand,financial,housing,labor,prices,real_activity,vintage_period,target_quarter,state_kind
1999-12,0.477057259840881,-0.01935926740351749,-0.14184769849115825,0.7497637980159912,-0.3974582703928091,0.5788035825585821,-0.7897895812402757,2000-01,2000Q1,current_smoothed
2000-01,0.6560014077763282,0.20666776211079135,-0.09753326190886501,0.8150799258248478,-0.3674618680956472,-0.4477153396470597,0.16768986804517663,2000-02,2000Q1,current_smoothed
1999-12,0.477057259840881,-0.01935926740351749,-0.14184769849115825,0.7497637980159912,-0.3974582703928091,0.5788035825585821,-0.7897895812402757,2000-02,2000Q1,previous_vintage_smoothed
2000-02,0.08861258647121072,0.008626192951442482,0.1077005763407545,1.1653083861213653,-0.0718828797508769,1.8420485719855526,-0.08791687246701924,2000-03,2000Q1,current_smoothed
2000-01,0.6560014077763282,0.20666776211079135,-0.09753326190886501,0.8150799258248478,-0.3674618680956472,-0.4477153396470597,0.16768986804517663,2000-03,2000Q1,previous_vintage_smoothed
2000-03,-0.11370493924609879,-0.1940453880348017,0.16418336727005808,0.769427520980762,-0.2460788627052883,0.787476546181352,0.20217183730010432,2000-04,2000Q2,current_smoothed
2000-02,0.08861258647121072,0.008626192951442482,0.1077005763407545,1.1653083861213653,-0.0718828797508769,1.8420485719855526,-0.08791687246701924,2000-04,2000Q2,previous_vintage_smoothed
2000-04,0.3169706142707045,0.03597686882345595,0.32766053658648925,0.699276052770263,0.4196805228248161,-3.620107211910803,0.5316098299738462,2000-05,2000Q2,current_smoothed
2000-03,-0.11370493924609879,-0.1940453880348017,0.16418336727005808,0.769427520980762,-0.2460788627052883,0.787476546181352,0.20217183730010432,2000-05,2000Q2,previous_vintage_smoothed
2000-05,-0.06926331975979026,-0.6868266313480967,0.3082291359688909,0.7076367510314315,-0.11694733543249838,0.4014611972813948,-0.06146319908757191,2000-06,2000Q2,current_smoothed
2000-04,0.3169706142707045,0.03597686882345595,0.32766053658648925,0.699276052770263,0.4196805228248161,-3.620107211910803,0.5316098299738462,2000-06,2000Q2,previous_vintage_smoothed
2000-06,0.00614932684969174,-0.820486686163699,0.5388975442312851,0.5436870322059817,-0.27280556702706743,2.391272975193592,0.08516667736744321,2000-07,2000Q3,current_smoothed
