vintage_period,vintage_timestamp_start,target_quarter,within_quarter_origin,n_monthly_series,n_monthly_obs,factor_order,llf_final,em_iterations,llf_path_json,converged_flag,sample_end_period,model_index_generated,model_index_type,model_index_monotonic,row_labels_type,row_labels_monotonic
2000-01,2000-01-01,2000Q1,1,44,492,1,-19627.59844193913,88,"[-21737.482529436078, -20754.622212245362, -20455.36600783195, -20241.568171164337, -20085.31438816473, -19981.54787697469, -19916.890869967123, -19873.89519698974, -19841.02641848634, -19813.967879297707, -19791.68840370368, -19773.749112403664, -19759.444182932908, -19747.500173385935, -19735.437307541466, -19717.579278762925, -19688.820348381716, -19665.297295758595, -19655.345850998598, -19650.892511525984, -19648.09642628221, -19645.92158693874, -19644.09593431225, -19642.524281489565, -19641.155569556446, -19639.954222501947, -19638.892977180793, -19637.95023534204, -19637.10860126617, -19636.353894897322, -19635.674437966518, -19635.06052352833, -19634.504015493538, -19633.998042388725, -19633.536760424904, -19633.115168193755, -19632.728960274817, -19632.37441049639, -19632.048278032602, -19631.74773125981, -19631.470285551834, -19631.2137521098, -19630.976195598065, -19630.75589886061, -19630.55133337068, -19630.361134353156, -19630.18407973878, -19630.01907227868, -19629.86512427929, -19629.721344521022, -19629.586927005104, -19629.461141238065, -19629.343323814443, -19629.232871100172, -19629.129232852596, -19629.031906640077, -19628.940432946856, -19628.854390866734, -19628.773394304433, -19628.697088615947, -19628.625147629537, -19628.55727099772, -19628.49318183775, -19628.432624624416, -19628.375363303818, -19628.321179601317, -19628.269871500546, -19628.221251873314, -19628.17514724307, -19628.131396666795, -19628.089850722194, -19628.05037058857, -19628.012827211474, -19627.977100542106, -19627.94307884389, -19627.91065805925, -19627.87974123063, -19627.850237970364, -19627.82206397469, -19627.79514057772, -19627.76939434153, -19627.744756679193, -19627.721163507602, -19627.6985549275, -19627.67687492835, -19627.656071115765, -19627.636094459725, -19627.6168990617, -19627.59844193913]",False,1999-12,False,PeriodIndex,True,PeriodIndex,True
2000-02,2000-02-01,2000Q1,2,44,493,1,-19668.56702115783,88,"[-21777.24635219711, -20795.705791818014, -20496.61871310371, -20282.856532070207, -20126.45702006268, -20022.500183866112, -19957.6999848964, -19914.61162881709, -19881.676348816898, -19854.552165815167, -19832.17796299834, -19814.055666383494, -19799.32170109175, -19786.20659273735, -19770.64586360912, -19745.26771484829, -19716.14776639393, -19700.993257263108, -19694.684131530816, -19691.178349462945, -19688.61983827179, -19686.525802866963, -19684.745685738395, -19683.208813583587, -19681.869318870216, -19680.69313110947, -19679.653738377925, -19678.730078077657, -19677.905183053466, -19677.165226197365, -19676.498822531044, -19675.896509987593, -19675.350357692358, -19674.853666703464, -19674.40073870589, -19673.986695271757, -19673.607335193505, -19673.259020804133, -19672.938586599386, -19672.643265188402, -19672.37062683281, -19672.118529734023, -19671.885078890646, -19671.66859184122, -19671.467569977754, -19671.280674396432, -19671.106705466518, -19670.94458546394, -19670.793343744946, -19670.65210403539, -19670.52007349108, -19670.396533246952, -19670.28083022366, -19670.172370000044, -19670.070610592775, -19669.975057010844, -19669.885256474237, -19669.80079420367, -19669.721289703062, -19669.646393468327, -19669.57578406614, -19669.509165534764, -19669.446265065806, -19669.386830931944, -19669.33063063031, -19669.277449215642, -19669.227087800675, -19669.17936220435, -19669.134101730968, -19669.091148065618, -19669.050354272997, -19669.0115838885, -19668.974710091723, -19668.939614953735, -19668.906188750596, -19668.87432933637, -19668.843941569703, -19668.81493678881, -19668.78723233014, -19668.760751086564, -19668.735421101515, -19668.711175195618, -19668.687950623033, -19668.66568875475, -19668.644334786462, -19668.623837469033, -19668.604148859406, -19668.585224090417, -19668.56702115783]",False,2000-01,False,PeriodIndex,True,PeriodIndex,True
2000-03,2000-03-01,2000Q1,3,44,494,1,-19709.226776194853,87,"[-21820.123502465787, -20837.34344737365, -20537.996956701943, -20324.0850701553, -20167.702257263085, -20063.851299619666, -19999.080179784956, -19955.890235961997, -19922.780295079763, -19895.46728678896, -19872.90049582364, -19854.5324344533, -19839.334239339863, -19825.016479116628, -19806.150543624426, -19776.780605299533, -19751.253246241373, -19739.86324483849, -19734.67258304868, -19731.429459359388, -19728.937934961206, -19726.87094121892, -19725.109548342098, -19723.58912828115, -19722.26500004228, -19721.103374635586, -19720.077838292775, -19719.16737777263, -19718.355056211018, -19717.627067427034, -19716.97204268958, -19716.38053419026, -19715.844624905694, -19715.357630222366, -19714.913867067466, -19714.508473321963, -19714.13726513165, -19713.796623102753, -19713.483400745485, -19713.194850223055, -19712.92856168659, -19712.682413367835, -19712.45453025901, -19712.243249698568, -19712.047092549918, -19711.864738939206, -19711.695007732196, -19711.536839095286, -19711.389279613853, -19711.25146954184, -19711.12263183567, -19711.002062688705, -19710.889123332727, -19710.783232913498, -19710.683862280166, -19710.590528554898, -19710.50279037091, -19710.420243684865, -19710.342518084435, -19710.26927352389, -19710.20019743076, -19710.13500213516, -19710.0734225803, -19710.015214278756, -19709.960151484043, -19709.908025551278, -19709.85864346437, -19709.811826510042, -19709.767409081876, -19709.72523759945, -19709.685169529934, -19709.64707250068, -19709.6108234932, -19709.576308109776, -19709.54341990521, -19709.512059777044, -19709.482135408285, -19709.453560757556, -19709.426255591992, -19709.40014505872, -19709.375159291463, -19709.35123304881, -19709.32830538138, -19709.30631932526, -19709.285221619335, -19709.26496244452, -19709.24549518283, -19709.226776194853]",False,2000-02,False,PeriodIndex,True,PeriodIndex,True
2000-04,2000-04-01,2000Q2,1,44,495,1,-19752.972686508758,88,"[-21868.766421757202, -20882.169310520636, -20582.514559864234, -20368.626562600282, -20212.355021754287, -20108.575033903006, -20043.859337757174, -20000.764238438904, -19967.787297806142, -19940.62974911646, -19918.26307814373, -19900.236381106806, -19885.808174896294, -19873.60678180698, -19860.838925764736, -19841.197739300605, -19811.33553411709, -19789.630297373256, -19780.700212649564, -19776.500528156328, -19773.746005167795, -19771.566494721763, -19769.726842527867, -19768.139469445883, -19766.755032540634, -19765.53847502249, -19764.462750883533, -19763.506361575557, -19762.65194678848, -19761.88532244968, -19761.19478227738, -19760.570577616454, -19760.004523821524, -19759.489698454137, -19759.02020711579, -19758.590999771288, -19758.19772522884, -19757.83661478792, -19757.504388421523, -19757.19817853988, -19756.915467596133, -19756.65403668172, -19756.411922914594, -19756.1873839134, -19755.978868020342, -19755.784989216794, -19755.604505892195, -19755.436302794027, -19755.27937561743, -19755.132817795777, -19754.9958091347, -19754.867605996697, -19754.74753279542, -19754.63497460027, -19754.529370685865, -19754.430208888294, -19754.337020652652, -19754.249376674747, -19754.16688305507, -19754.089177895792, -19754.015928281966, -19753.946827596857, -19753.88159312868, -19753.819963932106, -19753.761698913124, -19753.70657511023, -19753.654386148453, -19753.604940846206, -19753.558061957272, -19753.51358503275, -19753.471357389633, -19753.431237174496, -19753.39309251201, -19753.35680072951, -19753.32224764962, -19753.28932694415, -19753.257939543102, -19753.227993093384, -19753.19940146245, -19753.17208428264, -19753.145966532284, -19753.12097815043, -19753.097053681886, -19753.074131950118, -19753.052155755395, -19753.031071596022, -19753.0108294108, -19752.991382340777, -19752.972686508758]",False,2000-03,False,PeriodIndex,True,PeriodIndex,True
2000-05,2000-05-01,2000Q2,2,44,496,1,-19794.598566788954,88,"[-21915.835233978763, -20926.2628282144, -20625.959812148187, -20411.574464576835, -20254.894648466194, -20150.798733900465, -20085.85091997319, -20042.585451288494, -20009.479614423122, -19982.21107183445, -19959.712156734196, -19941.457912135535, -19926.5344209369, -19913.047884738575, -19896.58953994696, -19869.90726281081, -19841.284263709174, -19826.957661567987, -19820.857067053075, -19817.380545002878, -19814.82015483953, -19812.72126003472, -19810.93708465964, -19809.396970334696, -19808.054708557524, -19806.875968720564, -19805.834073833037, -19804.90786391986, -19804.080319161152, -19803.33758836674, -19802.668280133206, -19802.062936406197, -19801.513636123018, -19801.013693069297, -19800.557422848375, -19800.139961158893, -19799.757120603295, -19799.405276753874, -19799.08127667172, -19798.78236483144, -19798.506122668958, -19798.250418888438, -19798.013368339132, -19797.79329777276, -19797.58871716637, -19797.398295578263, -19797.22084071991, -19797.055281592264, -19796.900653663335, -19796.7560861639, -19796.620791157402, -19796.49405410224, -19796.375225674994, -19796.263714662902, -19796.15898176658, -19796.060534180084, -19795.967920837218, -19795.880728230484, -19795.798576723726, -19795.72111729165, -19795.648028629505, -19795.57901458441, -19795.513801867226, -19795.45213800933, -19795.393789534137, -19795.338540317054, -19795.2861901113, -19795.236553220107, -19795.189457298373, -19795.14474226896, -19795.10225934091, -19795.061870118378, -19795.02344579048, -19794.98686639347, -19794.952020137745, -19794.91880279308, -19794.887117126113, -19794.856872385084, -19794.827983827134, -19794.80037228411, -19794.773963763342, -19794.748689080057, -19794.724483518658, -19794.7012865202, -19794.679041393872, -19794.65769505025, -19794.63719775465, -19794.61750289873, -19794.598566788954]",False,2000-04,False,PeriodIndex,True,PeriodIndex,True
2000-06,2000-06-01,2000Q2,3,44,497,1,-19839.646970193986,88,"[-21963.77298096488, -20972.176932663155, -20670.72906708471, -20455.876598129205, -20299.238671751787, -20195.278737280903, -20130.42689774751, -20087.237931009106, -20054.195188934136, -20026.963942365634, -20004.459894073312, -19986.123991360713, -19970.92910998301, -19956.59757915944, -19937.719376090536, -19908.26340972235, -19882.356340842438, -19870.67529904261, -19865.377521041373, -19862.101831199077, -19859.600961462464, -19857.531421065407, -19855.769433356094, -19854.24877280082, -19852.92411102983, -19851.76136354122, -19850.733993956834, -19849.820965290222, -19849.005374711436, -19848.273481975804, -19847.61399953663, -19847.017565508693, -19846.476347160125, -19845.983738916515, -19845.534129657353, -19845.122721422405, -19844.745386701168, -19844.39855500039, -19844.079121864524, -19843.784375288687, -19843.511935732764, -19843.259706867386, -19843.025834859473, -19842.80867450656, -19842.606760904666, -19842.418785617938, -19842.243576534158, -19842.080080756357, -19841.92735000915, -19841.78452813884, -19841.65084036522, -19841.52558400559, -19841.408120441338, -19841.297868137244, -19841.194296556387, -19841.096920839293, -19841.005297137708, -19840.919018510715, -19840.837711305492, -19840.76103195704, -19840.68866415087, -19840.620316301414, -19840.55571930534, -19840.494624535215, -19840.43680204369, -19840.382038952426, -19840.33013800386, -19840.280916256394, -19840.234203906653, -19840.189843224267, -19840.147687586654, -19840.107600602838, -19840.06945531674, -19840.033133481502, -19839.99852489749, -19839.965526807486, -19839.934043343288, -19839.903985018675, -19839.875268264295, -19839.847815000376, -19839.82155224381, -19839.796411746407, -19839.772329661493, -19839.749246236355, -19839.727105528174, -19839.705855141576, -19839.68544598575, -19839.6658320497, -19839.646970193986]",False,2000-05,False,PeriodIndex,True,PeriodIndex,True
2000-07,2000-07-01,2000Q3,1,44,498,1,-19902.65671472784,88,"[-22029.61370715184, -21035.76162285569, -20733.668667536902, -20518.428693698053, -20361.557776891612, -20257.533484247713, -20192.87698564381, -20150.113528835587, -20117.549435065688, -20090.69283590773, -20068.401564757565, -20050.118872843777, -20034.830430531794, -20020.207298098074, -20000.629281688998, -19970.514022798925, -19945.135466902997, -19933.852425259254, -19928.638109392763, -19925.354750450148, -19922.830634572296, -19920.738918729585, -19918.958179068373, -19917.421808998843, -19916.083792699737, -19914.90947365239, -19913.871892262177, -19912.949707801865, -19912.125801368755, -19911.386279180006, -19910.719744165617, -19910.1167556132, -19909.569423201905, -19909.071098351058, -19908.61613687178, -19908.19971445951, -19907.8176817813, -19907.466449552096, -19907.142896560214, -19906.844295428913, -19906.56825221477, -19906.312656897448, -19906.075642515207, -19905.855551218312, -19905.650905899427, -19905.460386351708, -19905.28280912715, -19905.11711043753, -19904.962331571813, -19904.817606405995, -19904.682150661833, -19904.55525263399, -19904.436265155815, -19904.324598614214, -19904.21971485659, -19904.121121859098, -19904.028369047068, -19903.941043175815, -19903.85876469462, -19903.781184528543, -19903.7079812226, -19903.63885840123, -19903.573542502643, -19903.51178075363, -19903.45333935517, -19903.39800185339, -19903.345567673787, -19903.295850799677, -19903.248678578377, -19903.203890640678, -19903.161337921123, -19903.12088176812, -19903.082393134304, -19903.045751838694, -19903.010845893343, -19902.97757088783, -19902.94582942593, -19902.9155306093, -19902.8865895637, -19902.858927003646, -19902.832468832094, -19902.807145771676, -19902.782893024934, -19902.759649960743, -19902.7373598248, -19902.71596947199, -19902.69542911884, -19902.675692114386, -19902.65671472784]",False,2000-06,False,PeriodIndex,True,PeriodIndex,True
2000-08,2000-08-01,2000Q3,2,47,499,1,-21729.234759762876,89,"[-23897.00106678589, -22857.32712805929, -22553.136864246888, -22337.168496394188, -22180.924688410603, -22077.967115538944, -22014.315281516414, -21972.427167281312, -21940.662599497922, -21914.55491748092, -21892.940150757113, -21875.233982870104, -21860.419923414498, -21846.218117578912, -21827.148545898282, -21797.468831490427, -21771.936592581846, -21760.507097340975, -21755.28203633787, -21752.042289105615, -21749.568952228045, -21747.520901390246, -21745.774640217114, -21744.26453687305, -21742.945987025283, -21741.78560819252, -21740.757498946303, -21739.84118129182, -21739.02023655387, -21738.281338480505, -21737.613549802492, -21737.00780247592, -21736.45650859098, -21735.953265448312, -21735.49262929953, -21735.069939742018, -21734.68118191881, -21734.322877259583, -21733.99199601012, -21733.6858865748, -21733.402217965297, -21733.138932564907, -21732.8942070856, -21732.66642008665, -21732.45412479, -21732.256026202245, -21732.070961762078, -21731.897884891492, -21731.735850952806, -21731.58400520929, -21731.441572463005, -21731.307848102886, -21731.182190343898, -21731.064013476018, -21730.952781972836, -21730.848005334294, -21730.749233558723, -21730.656053155915, -21730.56808362681, -21730.484974346902, -21730.40640179973, -21730.332067114974, -21730.26169387229, -21730.19502613733, -21730.131826701567, -21730.071875501, -21730.01496819261, -21729.960914870077, -21729.90953890277, -21729.860675884076, -21729.81417267702, -21729.769886546568, -21729.727684369318, -21729.6874419125, -21729.64904317514, -21729.61237978508, -21729.57735044632, -21729.543860431775, -21729.511821117045, -21729.481149551415, -21729.45176806258, -21729.423603892013, -21729.396588858333, -21729.37065904604, -21729.345754517635, -21729.32181904694, -21729.298799871936, -21729.276647465536, -21729.255315322727, -21729.234759762876]",False,2000-07,False,PeriodIndex,True,PeriodIndex,True
2000-09,2000-09-01,2000Q3,3,47,500,1,-21771.582498061125,89,"[-23944.30147864495, -22902.674179161928, -22597.8526141536, -22381.26710473867, -22224.531318093832, -22121.279538050345, -22057.418125560624, -22015.306133540922, -21983.32132518984, -21957.04617530491, -21935.335385155784, -21917.60337088648, -21902.83345924015, -21888.788026603495, -21870.13115990528, -21840.815766184656, -21814.77914141878, -21802.962191347397, -21797.62406874873, -21794.359378380952, -21791.882379182516, -21789.83534911277, -21788.091192517382, -21786.583519710555, -21785.2675340751, -21784.109769885952, -21783.084268002884, -21782.17050456111, -21781.352024672116, -21780.61547466537, -21779.949897679384, -21779.346212801483, -21778.796824854482, -21778.295328413682, -21777.836280593867, -21777.415024613565, -21777.02755128924, -21776.670389188403, -21776.340516677967, -21776.035290879256, -21775.752389809877, -21775.489764909304, -21775.245601813953, -21775.018287740684, -21774.806384205083, -21774.608604077086, -21774.423792186462, -21774.25090885135, -21774.089015827405, -21773.937264271965, -21773.794884393832, -21773.66117651952, -21773.53550335468, -21773.4172832583, -21773.30598437795, -21773.201119520014, -21773.102241649187, -21773.00893992848, -21772.920836225036, -21772.83758201842, -21772.7588556578, -21772.684359922245, -21772.613819845224, -21772.54698076994, -21772.48360660686, -21772.423478268764, -21772.366392262145, -21772.312159416597, -21772.26060373615, -21772.211561358912, -21772.164879612847, -21772.12041615724, -21772.0780382007, -21772.037621787546, -21771.99905114567, -21771.96221808948, -21771.927021472595, -21771.893366685297, -21771.861165192597, -21771.830334108912, -21771.800795806153, -21771.772477552033, -21771.745311176004, -21771.71923276034, -21771.694182354244, -21771.670103708904, -21771.646944031974, -21771.62465375963, -21771.60318634492, -21771.582498061125]",False,2000-08,False,PeriodIndex,True,PeriodIndex,True
2000-10,2000-10-01,2000Q4,1,47,501,1,-21815.038104031686,89,"[-23993.072318653565, -22947.546335511586, -22642.033317040226, -22425.430364264575, -22268.830307625394, -22165.659357212695, -22101.7796792682, -22059.586289589526, -22027.500170282114, -22001.115152472536, -21979.263103891306, -21961.290326596587, -21945.96909822298, -21930.37399794384, -21907.84232331516, -21876.358099551304, -21854.712897956066, -21845.441058513614, -21840.800589998642, -21837.69554125621, -21835.25528842621, -21833.219933014356, -21831.482587254766, -21829.98067735114, -21828.67004877105, -21827.517312088596, -21826.49650138519, -21825.58708492888, -21824.772609181673, -21824.039729700307, -21823.377504194967, -21822.776869575828, -21822.230250208988, -21821.731260860106, -21821.27447875031, -21820.855266637955, -21820.46963400828, -21820.11412704767, -21819.78574060078, -21819.481847094372, -21819.200138688408, -21818.938579837173, -21818.695368116332, -21818.4689016678, -21818.25775198414, -21818.06064103161, -21817.876421922276, -21817.704062507, -21817.542631385855, -21817.391285930084, -21817.24926198578, -21817.115864990214, -21816.9904622795, -21816.87247640539, -21816.76137930971, -21816.656687230396, -21816.55795623381, -21816.464778284764, -21816.37677777973, -21816.293608480104, -21816.21495079218, -21816.140509348228, -21816.07001084991, -21816.003202140866, -21815.93984847991, -21815.879731990375, -21815.822650264567, -21815.76841510487, -21815.71685138594, -21815.667796024085, -21815.621097041927, -21815.57661271799, -21815.53421081198, -21815.49376785791, -21815.45516851796, -21815.418304990955, -21815.383076470003, -21815.34938864453, -21815.317153242355, -21815.286287608178, -21815.256714314946, -21815.22836080526, -21815.201159060038, -21815.175045292104, -21815.14995966251, -21815.125846017687, -21815.10265164569, -21815.080327049942, -21815.058825739092, -21815.038104031686]",False,2000-09,False,PeriodIndex,True,PeriodIndex,True
