scope,model_name,n_obs,mae_dfm,rmsfe_dfm,mae_hybrid,rmsfe_hybrid,mae_improvement,rmsfe_improvement,mae_improvement_pct,rmsfe_improvement_pct
overall,elastic_net,186,2.112022259637309,4.006327223233937,2.494043101503824,5.108130112833293,-0.38202084186651497,-1.1018028895993561,-18.08791740348978,-27.501570096662565
overall,gbr,186,2.112022259637309,4.006327223233937,2.4494451799078125,4.773643621158878,-0.33742292027050347,-0.7673163979249411,-15.976295644177918,-19.152614231684193
tau_1,elastic_net,62,2.239935456745439,4.608564731913825,2.406122542707106,6.063189729148442,-0.16618708596166698,-1.4546249972346166,-7.419280116362459,-31.5635144964221
tau_1,gbr,62,2.239935456745439,4.608564731913825,2.5041438009712156,5.190078183255269,-0.26420834422577677,-0.5815134513414444,-11.795355238032789,-12.61810314422894
tau_2,elastic_net,62,1.9320727704036211,3.383136965430599,2.3414900570349544,3.953801302649966,-0.40941728663133325,-0.5706643372193669,-21.19057278291871,-16.867905232643572
tau_2,gbr,62,1.9320727704036211,3.383136965430599,2.323665825316146,4.258894100587309,-0.39159305491252505,-0.8757571351567099,-20.268028249822027,-25.885949759212462
tau_3,elastic_net,62,2.1640585517628677,3.9328728486658626,2.7345167047694106,5.087648309033861,-0.5704581530065429,-1.1547754603679987,-26.360569243463445,-29.36213563984734
tau_3,gbr,62,2.1640585517628677,3.9328728486658626,2.5205259134360767,4.8257569102859765,-0.356467361673209,-0.8928840616201139,-16.472168065084304,-22.703100150390178
