tau,model_name,n_oos,residual_rmsfe,residual_mae,hybrid_rmsfe,hybrid_mae,dfm_only_rmsfe,dfm_only_mae,rmsfe_gain_vs_dfm_pct
1,elastic_net,62,5.978065849021705,2.3449414388197622,5.978065849021705,2.3449414388197622,4.608564731913826,2.239935456745439,-29.716434438345377
1,gbr,62,4.962103203398238,2.6550436683076275,4.962103203398238,2.6550436683076275,4.608564731913826,2.239935456745439,-7.671335698860758
1,rf,62,4.56342371311683,2.2428666373418813,4.56342371311683,2.2428666373418813,4.608564731913826,2.239935456745439,0.9795027611177782
2,elastic_net,62,3.4390956047643524,2.2278343002676557,3.4390956047643524,2.2278343002676557,3.383136965430599,1.9320727704036211,-1.6540459314992924
2,gbr,62,3.503113588011518,2.059456698388325,3.503113588011518,2.059456698388325,3.383136965430599,1.9320727704036211,-3.5463128985571157
2,rf,62,3.384008291944258,1.8876002571643957,3.384008291944258,1.8876002571643957,3.383136965430599,1.9320727704036211,-0.025754987828225353
3,elastic_net,62,5.102108009585057,2.5889695314436656,5.102108009585057,2.5889695314436656,3.9328728486658626,2.1640585517628668,-29.72979818851327
3,gbr,62,4.248707123534059,2.349744921333545,4.248707123534059,2.349744921333545,3.9328728486658626,2.1640585517628668,-8.030625118616177
3,rf,62,4.000914463667263,2.13376928088902,4.000914463667263,2.13376928088902,3.9328728486658626,2.1640585517628668,-1.7300741117140772
